PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,Age,NewEthpop_ETH
192,E02000001,1,19.0,18.22951123970269,WHO
193,E02000001,1,19.0,18.84742478265432,MIX
194,E02000001,1,20.0,19.423753651974856,WBI
195,E02000001,1,20.0,19.02542672277767,WBI
196,E02000001,1,20.0,19.514464329655596,WBI
197,E02000001,1,20.0,19.563163020550494,WBI
198,E02000001,1,20.0,19.440997645050178,WBI
199,E02000001,1,20.0,19.13801579814293,WBI
200,E02000001,1,20.0,19.82407459804091,WBI
201,E02000001,1,20.0,19.455432016471136,WBI
202,E02000001,1,20.0,19.908717673980426,WBI
203,E02000001,1,20.0,19.166082279055036,WBI
204,E02000001,1,20.0,19.103258207798767,WBI
205,E02000001,1,20.0,19.86175261716651,WHO
206,E02000001,1,20.0,19.579593166863003,WHO
207,E02000001,1,20.0,19.65915008756004,WHO
208,E02000001,1,20.0,19.200042985838284,WHO
209,E02000001,1,20.0,19.308478649396193,BAN
210,E02000001,1,20.0,19.87433868782601,BLA
211,E02000001,1,20.0,19.21947304557706,OTH
212,E02000001,1,21.0,20.090964462498025,WBI
213,E02000001,1,21.0,20.240334488844248,WBI
214,E02000001,1,21.0,20.558733370631924,WBI
215,E02000001,1,21.0,20.95424653844337,WBI
216,E02000001,1,21.0,20.413185379252365,WBI
217,E02000001,1,21.0,20.642901747975497,WBI
218,E02000001,1,21.0,20.954281308541624,WBI
219,E02000001,1,21.0,20.493406050342678,WBI
220,E02000001,1,21.0,20.558330398921107,WBI
221,E02000001,1,21.0,20.553820833208583,WBI
222,E02000001,1,21.0,20.892821464435553,WHO
223,E02000001,1,21.0,20.02279445898962,WHO
224,E02000001,1,21.0,20.488019097107994,WHO
225,E02000001,1,21.0,20.178022335143954,IND
226,E02000001,1,21.0,20.630514598369857,OTH
227,E02000001,1,22.0,21.984773458033203,WBI
228,E02000001,1,22.0,21.518929502609893,WBI
229,E02000001,1,22.0,21.95119857208735,WBI
230,E02000001,1,22.0,21.427340676348635,WBI
231,E02000001,1,22.0,21.153000327661793,WBI
232,E02000001,1,22.0,21.43878361528879,WBI
233,E02000001,1,22.0,21.98243602002713,WBI
234,E02000001,1,22.0,21.67731749271016,WBI
235,E02000001,1,22.0,21.876279071070464,WBI
236,E02000001,1,22.0,21.715103375964514,WBI
237,E02000001,1,22.0,21.782974301700236,WBI
238,E02000001,1,22.0,21.315670083060816,WBI
239,E02000001,1,22.0,21.197721121145094,WBI
240,E02000001,1,22.0,21.740759904774546,WBI
241,E02000001,1,22.0,21.638912079617263,WBI
242,E02000001,1,22.0,21.335848105652513,WBI
243,E02000001,1,22.0,21.48671404787547,WBI
244,E02000001,1,22.0,21.919720526878223,WHO
245,E02000001,1,22.0,21.07131366109596,WHO
246,E02000001,1,22.0,21.86473258587777,WHO
247,E02000001,1,22.0,21.371066493675066,WHO
248,E02000001,1,22.0,21.43233873804769,WHO
249,E02000001,1,22.0,21.600017691345705,WHO
250,E02000001,1,22.0,21.083728816157297,WHO
251,E02000001,1,22.0,21.34305517079877,MIX
252,E02000001,1,22.0,21.238314211257205,BAN
253,E02000001,1,22.0,21.552727429756445,BLA
254,E02000001,1,23.0,22.40037744770254,WBI
255,E02000001,1,23.0,22.838609988969765,WBI
256,E02000001,1,23.0,22.329086572247228,WBI
257,E02000001,1,23.0,22.43702532361317,WBI
258,E02000001,1,23.0,22.360006040496142,WBI
259,E02000001,1,23.0,22.861358448798555,WBI
260,E02000001,1,23.0,22.42897629452507,WBI
261,E02000001,1,23.0,22.9802066583406,WBI
262,E02000001,1,23.0,22.993773415673544,WBI
263,E02000001,1,23.0,22.093549707696326,WBI
264,E02000001,1,23.0,22.179971375334624,WBI
265,E02000001,1,23.0,22.314715881371292,WHO
266,E02000001,1,23.0,22.234599012861562,WHO
267,E02000001,1,23.0,22.798656811303154,MIX
268,E02000001,1,23.0,22.445036520783216,IND
269,E02000001,1,23.0,22.32044512033071,BAN
270,E02000001,1,23.0,22.786232015210523,OAS
271,E02000001,1,23.0,22.32132635688847,OBL
272,E02000001,1,24.0,23.479110589250137,WBI
273,E02000001,1,24.0,23.005090785474124,WBI
274,E02000001,1,24.0,23.022490568151575,WBI
275,E02000001,1,24.0,23.591848162572887,WBI
276,E02000001,1,24.0,23.373335796368863,WBI
277,E02000001,1,24.0,23.319195738496525,WBI
278,E02000001,1,24.0,23.988721711864116,WHO
279,E02000001,1,24.0,23.458198223151648,WHO
280,E02000001,1,24.0,23.034394108328136,WHO
281,E02000001,1,24.0,23.776588241201786,WHO
282,E02000001,1,24.0,23.854346152145105,BLA
283,E02000001,1,25.0,24.957408478529103,WBI
284,E02000001,1,25.0,24.276913253735863,WBI
285,E02000001,1,25.0,24.402318559706696,WBI
286,E02000001,1,25.0,24.14260809824735,WBI
287,E02000001,1,25.0,24.489141076353874,WBI
288,E02000001,1,25.0,24.6040224364696,WBI
289,E02000001,1,25.0,24.147574193510113,WBI
290,E02000001,1,25.0,24.54823271785227,WBI
291,E02000001,1,25.0,24.226633378149288,WBI
292,E02000001,1,25.0,24.484867393186825,WBI
293,E02000001,1,25.0,24.172825369288496,WBI
294,E02000001,1,25.0,24.221942709632856,WHO
295,E02000001,1,25.0,24.72061579350107,WHO
296,E02000001,1,25.0,24.702789076840414,WHO
297,E02000001,1,25.0,24.012533717874568,WHO
298,E02000001,1,25.0,24.601716705700813,WHO
299,E02000001,1,25.0,24.730034065478314,MIX
300,E02000001,1,25.0,24.386467541205977,CHI
301,E02000001,1,26.0,25.273714612450696,WBI
302,E02000001,1,26.0,25.08587170487015,WBI
303,E02000001,1,26.0,25.60265055770066,WBI
304,E02000001,1,26.0,25.80126157978667,WBI
305,E02000001,1,26.0,25.73470705391124,WBI
306,E02000001,1,26.0,25.104372365433132,WBI
307,E02000001,1,26.0,25.99164525156066,WBI
308,E02000001,1,26.0,25.312819069071804,WBI
309,E02000001,1,26.0,25.525467047889776,WHO
310,E02000001,1,26.0,25.388682923429165,WHO
311,E02000001,1,26.0,25.34441148281019,WHO
312,E02000001,1,26.0,25.44891330380079,WHO
313,E02000001,1,26.0,25.72971183868005,WHO
314,E02000001,1,26.0,25.53711984642547,IND
315,E02000001,1,26.0,25.736703250634744,OAS
316,E02000001,1,27.0,26.546671733564306,WBI
317,E02000001,1,27.0,26.4732876457723,WBI
318,E02000001,1,27.0,26.618748330613318,WBI
319,E02000001,1,27.0,26.58579066109872,WBI
320,E02000001,1,27.0,26.971757661493612,WBI
321,E02000001,1,27.0,26.109600871252905,WBI
