DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,79,IND,0.059640447
1,80,IND,0.059372884
1,81,IND,0.065909518
1,82,IND,0.073165799
1,83,IND,0.08122095900000001
1,84,IND,0.090162948
1,85,IND,0.100089401
1,86,IND,0.13632154900000001
1,1,PAK,0.003802679
1,2,PAK,0.000309983
1,3,PAK,0.000196763
1,4,PAK,0.00015536
1,5,PAK,0.000231152
1,6,PAK,0.000293465
1,7,PAK,0.000295949
1,8,PAK,0.00031407
1,9,PAK,0.00023003400000000003
1,10,PAK,0.00013296600000000001
1,11,PAK,0.00011217700000000001
1,12,PAK,0.000120815
1,13,PAK,0.000144893
1,14,PAK,0.000156969
1,15,PAK,0.000188333
1,16,PAK,0.00023466400000000002
1,17,PAK,0.000342419
1,18,PAK,0.00048204
1,19,PAK,0.000549386
1,20,PAK,0.000501915
1,21,PAK,0.000421006
1,22,PAK,0.00042157699999999997
1,23,PAK,0.00042227800000000005
1,24,PAK,0.000486376
1,25,PAK,0.000452844
1,26,PAK,0.000349121
1,27,PAK,0.000381227
1,28,PAK,0.00039382699999999997
1,29,PAK,0.000456996
1,30,PAK,0.000551363
1,31,PAK,0.000592181
1,32,PAK,0.000625973
1,33,PAK,0.000700164
1,34,PAK,0.0008238239999999999
1,35,PAK,0.000941403
1,36,PAK,0.001055411
1,37,PAK,0.001122757
1,38,PAK,0.001149115
1,39,PAK,0.001186332
1,40,PAK,0.0014098379999999998
1,41,PAK,0.001575687
1,42,PAK,0.0015978639999999998
1,43,PAK,0.0017798179999999999
1,44,PAK,0.001811066
1,45,PAK,0.002106646
1,46,PAK,0.002596652
1,47,PAK,0.0028800690000000003
1,48,PAK,0.003224832
1,49,PAK,0.003638051
1,50,PAK,0.0036897690000000003
1,51,PAK,0.003843671
1,52,PAK,0.004395133
1,53,PAK,0.005222274
1,54,PAK,0.006503289000000001
1,55,PAK,0.007655899999999999
1,56,PAK,0.008520336
1,57,PAK,0.009719407
1,58,PAK,0.010685456999999999
1,59,PAK,0.010947581000000001
1,60,PAK,0.011794684
1,61,PAK,0.01345043
1,62,PAK,0.014959885
1,63,PAK,0.01552112
1,64,PAK,0.015392174
1,65,PAK,0.017557786000000002
1,66,PAK,0.021016681000000002
1,67,PAK,0.02277963
1,68,PAK,0.024825956
1,69,PAK,0.029682119
1,70,PAK,0.033216625
1,71,PAK,0.033737612
1,72,PAK,0.03527247
1,73,PAK,0.0376309
1,74,PAK,0.041688415
1,75,PAK,0.044895994
1,76,PAK,0.047170243
1,77,PAK,0.052206027
1,78,PAK,0.057905942
1,79,PAK,0.063864715
1,80,PAK,0.064060813
1,81,PAK,0.070991028
1,82,PAK,0.07867096700000001
1,83,PAK,0.087181736
1,84,PAK,0.096613215
1,85,PAK,0.107065008
1,86,PAK,0.145053924
1,1,BAN,0.003618287
1,2,BAN,0.000283981
1,3,BAN,0.00018167
1,4,BAN,0.00014696799999999998
1,5,BAN,0.000221483
1,6,BAN,0.000328689
1,7,BAN,0.00035508
1,8,BAN,0.000333495
1,9,BAN,0.000274526
1,10,BAN,0.00018028
1,11,BAN,0.000122158
1,12,BAN,0.00013694
1,13,BAN,0.000158813
1,14,BAN,0.00016655200000000001
1,15,BAN,0.000183178
1,16,BAN,0.00022481400000000002
1,17,BAN,0.00032538900000000004
1,18,BAN,0.000507967
1,19,BAN,0.000598719
1,20,BAN,0.000493187
1,21,BAN,0.00041649300000000004
1,22,BAN,0.000400307
1,23,BAN,0.000401863
1,24,BAN,0.00045007699999999995
1,25,BAN,0.000393222
1,26,BAN,0.00032971
1,27,BAN,0.00034304800000000004
1,28,BAN,0.000338517
1,29,BAN,0.000404583
1,30,BAN,0.000468639
1,31,BAN,0.000519088
1,32,BAN,0.000573268
1,33,BAN,0.0006377980000000001
1,34,BAN,0.000747395
1,35,BAN,0.000833712
1,36,BAN,0.0009103739999999999
