NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
OTH,1,19,0.0550505068437981
WBI,1,20,0.0742452604890934
WHO,1,20,0.0711252578624469
MIX,1,20,0.0894354433048545
IND,1,20,0.139977445398432
PAK,1,20,0.132550933844529
BAN,1,20,0.0509092567294471
CHI,1,20,0.19140096336393503
OAS,1,20,0.327001008521295
BLA,1,20,0.0839170120731909
BLC,1,20,0.0158889797172341
OBL,1,20,0.0444015242462027
OTH,1,20,0.0647469284212269
WBI,1,21,0.0753965527164872
WHO,1,21,0.045128983822109996
MIX,1,21,0.0930255178134521
IND,1,21,0.0729416217779116
PAK,1,21,0.0378754715714868
BAN,1,21,0.0238087945866523
CHI,1,21,0.0932850239835809
OAS,1,21,0.0725787066830476
BLA,1,21,0.0609145239328063
BLC,1,21,0.0
OBL,1,21,0.0623447521351693
OTH,1,21,0.0639204787675592
WBI,1,22,0.14858909541051502
WHO,1,22,0.0824274588254496
MIX,1,22,0.173373188423619
IND,1,22,0.149666253162029
PAK,1,22,0.0685765864027584
BAN,1,22,0.0512611079237782
CHI,1,22,0.11126090343808001
OAS,1,22,0.184330520806067
BLA,1,22,0.121982087959575
BLC,1,22,0.0
OBL,1,22,0.0522390008277544
OTH,1,22,0.103449972157833
WBI,1,23,0.299896185276729
WHO,1,23,0.14539447771072
MIX,1,23,0.431736924915058
IND,1,23,0.161204027837521
PAK,1,23,0.11298397007965302
BAN,1,23,0.0671174902499054
CHI,1,23,0.149650709550139
OAS,1,23,0.5530189807269761
BLA,1,23,0.19734032862511103
BLC,1,23,0.0285846637805857
OBL,1,23,0.159822601269931
OTH,1,23,0.19148021313907396
WBI,1,24,0.339039319821724
WHO,1,24,0.13919762684606102
MIX,1,24,0.40329558103073
IND,1,24,0.101560824176871
PAK,1,24,0.0819734208305616
BAN,1,24,0.0575014690102088
CHI,1,24,0.149524471468042
OAS,1,24,0.17960969323554798
BLA,1,24,0.172655452131864
BLC,1,24,0.0
OBL,1,24,0.0751346168933167
OTH,1,24,0.23469445783610998
WBI,1,25,0.258282471524491
WHO,1,25,0.0962382828602554
MIX,1,25,0.354664463970245
IND,1,25,0.0704848822102032
PAK,1,25,0.0642679751709338
BAN,1,25,0.0391175994508733
CHI,1,25,0.10754972751286801
OAS,1,25,0.134980107147233
BLA,1,25,0.11022950115595599
BLC,1,25,0.0
OBL,1,25,0.18607357353241197
OTH,1,25,0.26010962520235603
WBI,1,26,0.184516440421374
WHO,1,26,0.15854159004711998
MIX,1,26,0.188234941998799
IND,1,26,0.13966580263435502
PAK,1,26,0.10356594417183901
BAN,1,26,0.140963671341843
CHI,1,26,0.125412848484677
OAS,1,26,0.303276626908712
BLA,1,26,0.157357321984922
BLC,1,26,0.45170558848824605
OBL,1,26,0.18211997222919896
OTH,1,26,0.35626920147828794
WBI,1,27,0.164647132871488
WHO,1,27,0.14357965591865898
MIX,1,27,0.22085860364453197
IND,1,27,0.120620047869453
PAK,1,27,0.0911453155323105
BAN,1,27,0.0782174754066819
CHI,1,27,0.129453412793651
OAS,1,27,0.340636933422474
BLA,1,27,0.14421822029222
BLC,1,27,0.4460950956005689
OBL,1,27,0.359696705521972
OTH,1,27,0.242003981020782
WBI,1,28,0.14365955243731
WHO,1,28,0.12936033169262898
MIX,1,28,0.211592565693329
IND,1,28,0.11664603582834801
PAK,1,28,0.0705146266993597
BAN,1,28,0.0465170367394559
