DC1117EW_C_AGE,NewEthpop_ETH,Rate,DC1117EW_C_SEX
71,PAK,0.0,2
72,PAK,0.0,2
73,PAK,0.0,2
74,PAK,0.0,2
75,PAK,0.0,2
76,PAK,0.0,2
77,PAK,0.0,2
78,PAK,0.0,2
79,PAK,0.0,2
80,PAK,0.0,2
81,PAK,0.0,2
82,PAK,0.0,2
83,PAK,0.0,2
84,PAK,0.0,2
85,PAK,0.0,2
86,PAK,0.0,2
1,BAN,0.0,2
2,BAN,0.0,2
3,BAN,0.0,2
4,BAN,0.0,2
5,BAN,0.0,2
6,BAN,0.0,2
7,BAN,0.0,2
8,BAN,0.0,2
9,BAN,0.0,2
10,BAN,0.0,2
11,BAN,0.000587162,2
12,BAN,0.002264566,2
13,BAN,0.007747204000000001,2
14,BAN,0.013554496000000001,2
15,BAN,0.021498053,2
16,BAN,0.031394387,2
17,BAN,0.042748503,2
18,BAN,0.054842475999999994,2
19,BAN,0.069712042,2
20,BAN,0.084020872,2
21,BAN,0.09703264,2
22,BAN,0.10819228300000001,2
23,BAN,0.114301515,2
24,BAN,0.119377445,2
25,BAN,0.12187511,2
26,BAN,0.12201210900000001,2
27,BAN,0.12010156400000001,2
28,BAN,0.11489277099999999,2
29,BAN,0.11216858800000001,2
30,BAN,0.10824276199999999,2
31,BAN,0.10346222599999999,2
32,BAN,0.09813386800000001,2
33,BAN,0.088761205,2
34,BAN,0.08970025599999999,2
35,BAN,0.08984688800000001,2
36,BAN,0.089417971,2
37,BAN,0.08858997,2
38,BAN,0.07743412599999999,2
39,BAN,0.073144698,2
40,BAN,0.069075172,2
41,BAN,0.06528368,2
42,BAN,0.061803767999999995,2
43,BAN,0.052836802,2
44,BAN,0.045014127,2
45,BAN,0.038226283,2
46,BAN,0.032365152,2
47,BAN,0.02952502,2
48,BAN,0.024887867999999997,2
49,BAN,0.020927621,2
50,BAN,0.017387304,2
51,BAN,0.0,2
52,BAN,0.0,2
53,BAN,0.0,2
54,BAN,0.0,2
55,BAN,0.0,2
56,BAN,0.0,2
57,BAN,0.0,2
58,BAN,0.0,2
59,BAN,0.0,2
60,BAN,0.0,2
61,BAN,0.0,2
62,BAN,0.0,2
63,BAN,0.0,2
64,BAN,0.0,2
65,BAN,0.0,2
66,BAN,0.0,2
