NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WHO,1,9,0.007885978537709556
MIX,1,9,0.0027503636809918337
IND,1,9,0.0013308211359637928
PAK,1,9,0.0020405924084778127
BAN,1,9,0.000975935499706779
CHI,1,9,0.000975935499706779
OAS,1,9,0.005944334407304935
BLA,1,9,0.0061968491869493466
BLC,1,9,0.0006612870762458675
OBL,1,9,0.0009493477344590291
OTH,1,9,0.012953325723380848
WBI,1,10,0.003071243338254695
WHO,1,10,0.007558759511248605
MIX,1,10,0.002636240706676821
IND,1,10,0.0012756003419403937
PAK,1,10,0.0019559205243086146
BAN,1,10,0.0009354402507562908
CHI,1,10,0.0009354402507562908
OAS,1,10,0.005697681527333772
BLA,1,10,0.005939718515291697
BLC,1,10,0.0006338477784763292
OBL,1,10,0.0009099557122823106
OTH,1,10,0.01241584332821988
WBI,1,11,0.004972489214317129
WHO,1,11,0.012237991589640613
MIX,1,11,0.004268199239381523
IND,1,11,0.00206525769647493
PAK,1,11,0.0031667284679282232
BAN,1,11,0.0015145223107482803
CHI,1,11,0.0015145223107482877
OAS,1,11,0.009224817710921335
BLA,1,11,0.009616687119996083
BLC,1,11,0.0010262297365807246
OBL,1,11,0.0014732616294094434
OTH,1,11,0.020101841579022686
WBI,1,12,0.005092148045677701
WHO,1,12,0.012532488713455517
MIX,1,12,0.004370909916265034
IND,1,12,0.002114956411095985
PAK,1,12,0.0032429331636805096
BAN,1,12,0.0015509680348037187
CHI,1,12,0.0015509680348037187
OAS,1,12,0.009446805302895416
BLA,1,12,0.009848104724487976
BLC,1,12,0.0010509251045733102
OBL,1,12,0.0015087144493684994
OTH,1,12,0.020585575734667575
WBI,1,13,0.0034568106837498773
WHO,1,13,0.008507694687985482
MIX,1,13,0.0029671973321903577
IND,1,13,0.0014357406446082388
PAK,1,13,0.0022014689883993054
BAN,1,13,0.0010528764727127055
CHI,1,13,0.0010528764727127055
OAS,1,13,0.006412974879250128
BLA,1,13,0.006685397463098879
BLC,1,13,0.0007134217420079896
OBL,1,13,0.0010241925765948035
OTH,1,13,0.013974542274186853
WBI,1,14,0.005849987310961327
WHO,1,14,0.01439763716428308
MIX,1,14,0.005021410869860607
IND,1,14,0.0024297149370293303
PAK,1,14,0.003725562903444972
BAN,1,14,0.0017817909538215063
CHI,1,14,0.0017817909538215063
OAS,1,14,0.01085272671873102
BLA,1,14,0.01131374955293663
BLC,1,14,0.0012073291018596687
OBL,1,14,0.001733248975775823
OTH,1,14,0.023649225387085457
WBI,1,15,0.005092148045677701
WHO,1,15,0.012532488713455517
MIX,1,15,0.004370909916265034
IND,1,15,0.002114956411095985
PAK,1,15,0.0032429331636805096
BAN,1,15,0.0015509680348037187
CHI,1,15,0.0015509680348037187
OAS,1,15,0.009446805302895416
BLA,1,15,0.009848104724487976
BLC,1,15,0.0010509251045733102
OBL,1,15,0.0015087144493684994
OTH,1,15,0.020585575734667575
WBI,1,16,0.00947560961201789
WHO,1,16,0.023320800858593196
MIX,1,16,0.008133509796711508
IND,1,16,0.003935569256473331
PAK,1,16,0.006034539526592438
BAN,1,16,0.002886084121413775
CHI,1,16,0.002886084121413775
OAS,1,16,0.017578876012247537
BLA,1,16,0.018325625050655294
BLC,1,16,0.00195559043709626
OBL,1,16,0.0028074574835586412
OTH,1,16,0.03830620742967378
WBI,1,17,0.018742793233430356
WHO,1,17,0.03279988815850306
MIX,1,17,0.002490721290142742
IND,1,17,0.013114410058302542
PAK,1,17,0.0032531869912068435
BAN,1,17,0.00172825558907864
CHI,1,17,0.055659996177679597
OAS,1,17,0.015096820881069296
BLA,1,17,0.005286428860711123
BLC,1,17,0.0
OBL,1,17,0.0
OTH,1,17,0.006150556655250442
WBI,1,18,0.02537955673047309
WHO,1,18,0.04441422427832799
MIX,1,18,0.0033726777805041987
IND,1,18,0.017758180966736314
PAK,1,18,0.004405130162291192
BAN,1,18,0.00234022539871719
CHI,1,18,0.07536902387045086
OAS,1,18,0.020442557159382597
BLA,1,18,0.007158336513723193
BLC,1,18,0.0
OBL,1,18,0.0
OTH,1,18,0.00832844921308173
WBI,1,19,0.05802573773348536
WHO,1,19,0.10154504103359978
MIX,1,19,0.007711013964089823
IND,1,19,0.04060084903541201
PAK,1,19,0.010071528442892934
BAN,1,19,0.005350499485286865
CHI,1,19,0.17231755695262058
OAS,1,19,0.046738186680299915
BLA,1,19,0.01636623371970093
BLC,1,19,0.0
OBL,1,19,0.0
