NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
BLC,1,22,0.002346811454824532
OBL,1,22,0.0009276281699686054
OTH,1,22,0.018685690861723444
WBI,1,23,0.3024951294768106
WHO,1,23,0.07372678364553477
MIX,1,23,0.010758875369613752
IND,1,23,0.03238355043000626
PAK,1,23,0.027847995638755126
BAN,1,23,0.017238195392999797
CHI,1,23,0.052069021490995404
OAS,1,23,0.026672438237805497
BLA,1,23,0.01266662737232303
BLC,1,23,0.002706076418279159
OBL,1,23,0.0010696354453712078
OTH,1,23,0.021546216376357667
WBI,1,24,0.3951221177320227
WHO,1,24,0.0963026510145102
MIX,1,24,0.014053348983863774
IND,1,24,0.04229971255311301
PAK,1,24,0.036375326209080586
BAN,1,24,0.022516700620406605
CHI,1,24,0.0680130687569747
OAS,1,24,0.034839801552593815
BLA,1,24,0.01654527344136417
BLC,1,24,0.003534703672698687
OBL,1,24,0.001397168354767527
OTH,1,24,0.028143880063336568
WBI,1,25,0.46313494127605953
WHO,1,25,0.11287933684487643
MIX,1,25,0.016472368071250243
IND,1,25,0.04958081061553412
PAK,1,25,0.042636652851627294
BAN,1,25,0.026392526137033984
CHI,1,25,0.07972023632989649
OAS,1,25,0.040836816573941996
BLA,1,25,0.01939323034520549
BLC,1,25,0.004143136272097639
OBL,1,25,0.0016376645469816107
OTH,1,25,0.03298831843489443
WBI,1,26,0.47285105892520735
WHO,1,26,0.11524743482064376
MIX,1,26,0.016817942226591102
IND,1,26,0.05062096748159434
PAK,1,26,0.04353112808627672
BAN,1,26,0.02694621549655223
CHI,1,26,0.08139268884031346
OAS,1,26,0.04169353300556311
BLA,1,26,0.01980008133146858
BLC,1,26,0.0042300552148689195
OBL,1,26,0.0016720211458693328
OTH,1,26,0.03368038105940266
WBI,1,27,0.4304240118572607
WHO,1,27,0.10490674032646231
MIX,1,27,0.015308935081602483
IND,1,27,0.04607894916646491
PAK,1,27,0.039625252894973845
BAN,1,27,0.02452843862665614
CHI,1,27,0.07408964621149154
OAS,1,27,0.037952537920817465
BLA,1,27,0.018023498691453244
BLC,1,27,0.0038505091647676693
OBL,1,27,0.001521997330726265
OTH,1,27,0.03065837426571661
WBI,1,28,0.33002412948272997
WHO,1,28,0.08043639457687361
MIX,1,28,0.011738002143079686
IND,1,28,0.03533066155051004
PAK,1,28,0.03038234213692883
BAN,1,28,0.018806981911634768
CHI,1,28,0.05680763693717809
OAS,1,28,0.029099801460732037
BLA,1,28,0.013819371833401706
BLC,1,28,0.00295234675613112
OBL,1,28,0.0011669791422197623
OTH,1,28,0.02350706047913112
WBI,1,29,0.3355299294839138
WHO,1,29,0.08177831676314122
MIX,1,29,0.011933827497772873
IND,1,29,0.035920083774610735
PAK,1,29,0.030889211436563507
BAN,1,29,0.01912073921536171
CHI,1,29,0.05775536002641463
OAS,1,29,0.02958527410531739
BLA,1,29,0.014049920725617454
BLC,1,29,0.003001600823701505
OBL,1,29,0.0011864478815894733
OTH,1,29,0.023899229299685746
WBI,1,30,0.26654549417496276
WHO,1,30,0.0649648211351982
MIX,1,30,0.0094802509948524
IND,1,30,0.028534970025583584
PAK,1,30,0.02453843727055187
BAN,1,30,0.015189544762782486
CHI,1,30,0.04588094720245101
OAS,1,30,0.0235025874408072
BLA,1,30,0.011161278723149752
BLC,1,30,0.0023844763300254206
OBL,1,30,0.0009425160294866165
OTH,1,30,0.018985584665677038
WBI,1,31,0.2769093530007205
WHO,1,31,0.06749079230934926
MIX,1,31,0.009848863427216054
IND,1,31,0.029644470682714426
PAK,1,31,0.025492544187511443
BAN,1,31,0.015780146746268656
CHI,1,31,0.04766489654689619
OAS,1,31,0.024416418301203117
BLA,1,31,0.011595253108497043
BLC,1,31,0.0024771898689814565
OBL,1,31,0.000979163068300192
OTH,1,31,0.019723784798485848
WBI,1,32,0.21796490592922227
WHO,1,32,0.05312433125636497
MIX,1,32,0.007752380218147797
IND,1,32,0.023334185695282846
PAK,1,32,0.020066061097304303
BAN,1,32,0.012421097965191539
CHI,1,32,0.0375186846503639
OAS,1,32,0.019219005282701405
BLA,1,32,0.009127023791834459
BLC,1,32,0.001949881616169031
OBL,1,32,0.0007707330350479842
OTH,1,32,0.015525271543135622
WBI,1,33,0.19140751768821793
WHO,1,33,0.046651530122602876
MIX,1,33,0.006807810860215988
IND,1,33,0.02049109026138511
PAK,1,33,0.017621162122595607
BAN,1,33,0.010907680382508406
CHI,1,33,0.032947314455223
OAS,1,33,0.016877313702936804
BLA,1,33,0.008014964429382094
BLC,1,33,0.001712303172594203
OBL,1,33,0.0006768249980882028
OTH,1,33,0.013633633702813027
WBI,1,34,0.13343468238163314
WHO,1,34,0.03252187886719516
MIX,1,34,0.004745885066681871
IND,1,34,0.014284820960559502
PAK,1,34,0.01228412655585347
BAN,1,34,0.007604000537383279
CHI,1,34,0.02296834780973247
OAS,1,34,0.011765572327597248
BLA,1,34,0.00558742021134592
BLC,1,34,0.0011936868140589028
OBL,1,34,0.00047183062472477084
OTH,1,34,0.009504326709913647
WBI,1,35,0.1065534235523238
WHO,1,35,0.02597014113424087
MIX,1,35,0.00378979657023868
IND,1,35,0.01140705363112635
PAK,1,35,0.009809411739989777
BAN,1,35,0.006072126642716225
CHI,1,35,0.018341229197577635
OAS,1,35,0.009395323533445351
BLA,1,35,0.004461799149351473
BLC,1,35,0.0009532110723916969
OBL,1,35,0.000376777367802062
OTH,1,35,0.007589620115440791
WBI,1,36,0.013926435297112268
WHO,1,36,0.0033942737652655273
MIX,1,36,0.0004953229559886425
IND,1,36,0.001490891508019562
PAK,1,36,0.0012820811696643156
BAN,1,36,0.000793621415309414
CHI,1,36,0.0023971819315982946
OAS,1,36,0.0012279602186569959
BLA,1,36,0.0005831530803103751
BLC,1,36,0.00012458381797216653
OBL,1,36,4.924445840574063e-05
OTH,1,36,0.000991956428461861
WBI,1,37,0.03533133690599306
WHO,1,37,0.008611265366424136
MIX,1,37,0.0012566332921487794
IND,1,37,0.00378238860385512
PAK,1,37,0.003252637216907355
BAN,1,37,0.0020134158527934424
CHI,1,37,0.00608164549242695
OAS,1,37,0.0031153324786224075
BLA,1,37,0.001479458131865646
BLC,1,37,0.0003160688828046514
OBL,1,37,0.00012493308686445834
OTH,1,37,0.002516591361848273
WBI,1,38,0.034654152948628225
WHO,1,38,0.00844621611356772
MIX,1,38,0.0012325478207159245
IND,1,38,0.003709892822281228
PAK,1,38,0.0031902950035832944
BAN,1,38,0.0019748253822815657
CHI,1,38,0.005965080620488767
OAS,1,38,0.0030556219394488092
BLA,1,38,0.0014511018510048883
BLC,1,38,0.00031001089588422894
OBL,1,38,0.0001225385360328895
OTH,1,38,0.0024683566940795084
WBI,1,39,0.00809676470762344
WHO,1,39,0.001973414979805536
MIX,1,39,0.0002879784627840941
IND,1,39,0.0008667973883834661
PAK,1,39,0.0007453960288746017
BAN,1,39,0.00046140779959849706
CHI,1,39,0.001393710425347842
OAS,1,39,0.0007139303596843001
BLA,1,39,0.00033904248855254365
BLC,1,39,7.243245230939927e-05
OBL,1,39,2.8630499073105052e-05
OTH,1,39,0.0005767188537568958
